Incident_Number,Area_Occ,Rpt_Dist,Dispatch_Date,Dispatch_Time,Call_Type_Code,Call_Type_Text
PD21032300003152,77th Street,1241,03/23/2021 12:00:00 AM,15:35:13,242D,DOM VIOL
PD21021100001873,Van Nuys,0904,02/11/2021 12:00:00 AM,11:11:51,242D,DOM VIOL
PD21033100005040,Southeast,1842,03/31/2021 12:00:00 AM,22:21:59,242AD,AMB DOM VIOL
PD21021200003582,Olympic,2091,02/12/2021 12:00:00 AM,18:16:49,245DI,DOM VIOL INVEST
PD21030300004584,Hollywood,0647,03/03/2021 12:00:00 AM,21:49:53,242PD,POSS DOM VIOL
PD21052100003909,Mission,1952,05/21/2021 12:00:00 AM,19:25:49,620D,DOM VIOL
PD21032800001280,Newton,1324,03/28/2021 12:00:00 AM,08:57:16,620DR,DOM VIOL R/O
PD21041000001374,N Hollywood,1548,04/10/2021 12:00:00 AM,10:00:05,245D,DOM VIOL
PD21042300004515,Southeast,1849,04/23/2021 12:00:00 AM,21:40:17,620DR,DOM VIOL R/O
PD21012000002006,Foothill,1635,01/20/2021 12:00:00 AM,11:32:53,620D,DOM VIOL
PD21050600003730,Southwest,0361,05/06/2021 12:00:00 AM,17:23:21,620D,DOM VIOL
PD21052600004829,77th Street,1256,05/26/2021 12:00:00 AM,22:02:52,620DR,DOM VIOL R/O
PD21010800000980,Olympic,2011,01/08/2021 12:00:00 AM,09:16:51,620D,DOM VIOL
PD21021700005748,Southeast,1824,02/17/2021 12:00:00 AM,23:33:13,245DI,DOM VIOL INVEST
PD21040500000005,N Hollywood,1548,04/05/2021 12:00:00 AM,00:15:30,620D,DOM VIOL
PD21060200004806,Foothill,1642,06/02/2021 12:00:00 AM,22:07:21,620DR,DOM VIOL R/O
PD21041900003780,Southwest,0397,04/19/2021 12:00:00 AM,19:58:32,245D,DOM VIOL
PD21021700005816,Rampart,0247,02/17/2021 12:00:00 AM,23:48:53,242DX,BATTERY DOMESTIC VIO
PD21052800001012,Southeast,1802,05/28/2021 12:00:00 AM,07:37:42,620D,DOM VIOL
PD21020600002385,Topanga,2141,02/06/2021 12:00:00 AM,14:40:51,620D,DOM VIOL
PD21051400000345,Olympic,2004,05/14/2021 12:00:00 AM,01:44:34,620DR,DOM VIOL R/O
PD21011400001946,West Valley,1043,01/14/2021 12:00:00 AM,12:32:00,620D,DOM VIOL
PD21022500004626,Devonshire,1794,02/25/2021 12:00:00 AM,20:04:36,620D,DOM VIOL
PD21033100004329,Olympic,2097,03/31/2021 12:00:00 AM,20:09:55,242PD,POSS DOM VIOL
PD21012300004566,Southeast,1862,01/23/2021 12:00:00 AM,23:34:38,245DSL,DOM VIOL SUSP J/L
PD21052800000355,Wilshire,0713,05/28/2021 12:00:00 AM,02:00:42,620D,DOM VIOL
PD21012400001459,West Valley,1008,01/24/2021 12:00:00 AM,10:13:38,242D,DOM VIOL
PD21042800005039,Olympic,2056,04/28/2021 12:00:00 AM,22:23:43,620D,DOM VIOL
PD21011900004940,Newton,1343,01/19/2021 12:00:00 AM,21:36:38,620DR,DOM VIOL R/O
PD21032500000416,77th Street,1231,03/25/2021 12:00:00 AM,04:56:56,242D,DOM VIOL
PD21052800005144,Southwest,0308,05/28/2021 12:00:00 AM,22:49:39,620DR,DOM VIOL R/O
PD21052900002362,Southeast,1846,05/29/2021 12:00:00 AM,13:38:56,245D,DOM VIOL
PD21032800004098,Newton,1394,03/28/2021 12:00:00 AM,21:36:56,620D,DOM VIOL
PD21021600003299,Southwest,0338,02/16/2021 12:00:00 AM,16:14:53,620D,DOM VIOL
PD21042000000983,N Hollywood,1519,04/20/2021 12:00:00 AM,08:09:46,620D,DOM VIOL
PD21021600001676,Southwest,0362,02/16/2021 12:00:00 AM,10:36:10,242D,DOM VIOL
PD21031400003449,Newton,1343,03/14/2021 12:00:00 AM,19:08:05,620DR,DOM VIOL R/O
PD21050600003074,Van Nuys,0916,05/06/2021 12:00:00 AM,14:44:18,620D,DOM VIOL
PD21021500004591,Hollenbeck,0478,02/15/2021 12:00:00 AM,22:31:25,242DS,DOM VIOL SUSP
PD21020200004435,Rampart,0238,02/02/2021 12:00:00 AM,19:55:07,242D,DOM VIOL
PD21050200003142,Southwest,0321,05/02/2021 12:00:00 AM,17:04:39,245DI,DOM VIOL INVEST
PD21041100000892,Southwest,0397,04/11/2021 12:00:00 AM,05:29:22,242D,DOM VIOL
PD21041900003256,Southwest,0301,04/19/2021 12:00:00 AM,17:14:23,620D,DOM VIOL
PD21052400004786,Southeast,1841,05/24/2021 12:00:00 AM,21:53:25,242D,DOM VIOL
PD21052500001039,Hollywood,0636,05/25/2021 12:00:00 AM,08:14:14,620D,DOM VIOL
PD21052500003436,77th Street,1269,05/25/2021 12:00:00 AM,17:40:28,620DR,DOM VIOL R/O
PD21032100005025,Southeast,1837,03/21/2021 12:00:00 AM,23:04:58,620D,DOM VIOL
PD21051100002336,Newton,1365,05/11/2021 12:00:00 AM,12:52:02,620DR,DOM VIOL R/O
PD21032200001439,Van Nuys,0929,03/22/2021 12:00:00 AM,10:07:00,242D,DOM VIOL
PD21012200003520,Wilshire,0734,01/22/2021 12:00:00 AM,18:09:37,620D,DOM VIOL
PD21041700000348,Central,0191,04/17/2021 12:00:00 AM,01:49:27,242D,DOM VIOL
PD21022500005679,77th Street,1211,02/25/2021 12:00:00 AM,23:35:53,620D,DOM VIOL
PD21020100004356,Olympic,2026,02/01/2021 12:00:00 AM,20:27:24,242D,DOM VIOL
PD21033000003729,Harbor,0585,03/30/2021 12:00:00 AM,17:55:47,620D,DOM VIOL
PD21030700004147,Mission,1981,03/07/2021 12:00:00 AM,20:12:08,620D,DOM VIOL
PD21031100003799,Harbor,0567,03/11/2021 12:00:00 AM,19:19:51,242DS,DOM VIOL SUSP
PD21032100000808,Southeast,1846,03/21/2021 12:00:00 AM,04:07:31,242D,DOM VIOL
PD21030200004985,Rampart,0245,03/02/2021 12:00:00 AM,21:49:01,242D,DOM VIOL
PD21040100002157,77th Street,1211,04/01/2021 12:00:00 AM,12:28:02,620D,DOM VIOL
PD21051800004891,Southwest,0332,05/18/2021 12:00:00 AM,22:16:09,620D,DOM VIOL
PD21011700003482,Harbor,0507,01/17/2021 12:00:00 AM,18:56:04,620D,DOM VIOL
PD21030400000085,Newton,1342,03/04/2021 12:00:00 AM,00:32:37,242D,DOM VIOL
PD21052900001349,Wilshire,0706,05/29/2021 12:00:00 AM,09:04:34,620DR,DOM VIOL R/O
PD21053100001627,Harbor,0513,05/31/2021 12:00:00 AM,10:26:21,242D,DOM VIOL
PD21012800000174,Hollenbeck,0499,01/28/2021 12:00:00 AM,01:18:18,245DS,DOM VIOL SUSP
PD21052200002614,Mission,1983,05/22/2021 12:00:00 AM,14:37:43,245AD,AMB DOM VIOL
PD21040100000768,77th Street,1268,04/01/2021 12:00:00 AM,06:38:47,245D,DOM VIOL
PD21041700004007,Newton,1351,04/17/2021 12:00:00 AM,20:59:59,242D,DOM VIOL
PD21020400002444,Southwest,0375,02/04/2021 12:00:00 AM,13:15:10,620D,DOM VIOL
PD21042700004835,Wilshire,0733,04/27/2021 12:00:00 AM,21:29:01,242D,DOM VIOL
PD21022400005288,West Valley,1023,02/24/2021 12:00:00 AM,21:21:49,620D,DOM VIOL
PD21010600003231,Hollenbeck,0468,01/06/2021 12:00:00 AM,17:33:43,242D,DOM VIOL
PD21022100001592,N Hollywood,1583,02/21/2021 12:00:00 AM,10:39:39,242D,DOM VIOL
PD21051600001997,Olympic,2063,05/16/2021 12:00:00 AM,11:45:16,242D,DOM VIOL
PD21050400000278,Olympic,2016,05/04/2021 12:00:00 AM,01:47:32,242DX,BATTERY DOMESTIC VIO
PD21032800001663,Wilshire,0713,03/28/2021 12:00:00 AM,11:19:32,242AD,AMB DOM VIOL
PD21031800004125,West Valley,1023,03/18/2021 12:00:00 AM,18:32:53,242D,DOM VIOL
PD21041500001040,Olympic,2073,04/15/2021 12:00:00 AM,08:15:34,620D,DOM VIOL
PD21050100003677,Foothill,1668,05/01/2021 12:00:00 AM,19:07:01,242D,DOM VIOL
PD21060400000892,Devonshire,1781,06/04/2021 12:00:00 AM,07:13:57,242AD,AMB DOM VIOL
PD21052200004121,Northeast,1177,05/22/2021 12:00:00 AM,20:17:43,245DSN,DOM VIOL SUSP NOW
PD21033000000659,Mission,1902,03/30/2021 12:00:00 AM,06:17:30,620D,DOM VIOL
PD21021100000661,Southeast,1834,02/11/2021 12:00:00 AM,06:01:04,620D,DOM VIOL
PD21022200004843,Topanga,2187,02/22/2021 12:00:00 AM,22:14:34,620D,DOM VIOL
PD21011900001596,Southwest,0311,01/19/2021 12:00:00 AM,10:35:20,620D,DOM VIOL
PD21040400001189,Southeast,1804,04/04/2021 12:00:00 AM,08:07:58,620D,DOM VIOL
PD21031000004977,Newton,1343,03/10/2021 12:00:00 AM,22:51:00,620D,DOM VIOL
PD21012300000505,N Hollywood,1516,01/23/2021 12:00:00 AM,03:00:39,620D,DOM VIOL
PD21050300001846,Topanga,2187,05/03/2021 12:00:00 AM,11:12:00,620D,DOM VIOL
PD21032700002820,Topanga,2115,03/27/2021 12:00:00 AM,17:16:22,242D,DOM VIOL
PD21030700000796,77th Street,1268,03/07/2021 12:00:00 AM,03:48:48,245PD,ADW POSS DOM VIOL
PD21032000000952,Olympic,2019,03/20/2021 12:00:00 AM,06:49:04,620D,DOM VIOL
PD21040800000483,Hollywood,0667,04/08/2021 12:00:00 AM,03:24:36,242D,DOM VIOL
PD21020300000064,Wilshire,0777,02/03/2021 12:00:00 AM,00:21:33,242D,DOM VIOL
PD21012500001818,77th Street,1211,01/25/2021 12:00:00 AM,11:45:54,620D,DOM VIOL
PD21041400004899,Harbor,0585,04/14/2021 12:00:00 AM,21:29:10,242D,DOM VIOL
PD21052300003934,Hollywood,0663,05/23/2021 12:00:00 AM,21:10:11,242AD,AMB DOM VIOL
PD21022700000320,N Hollywood,1505,02/27/2021 12:00:00 AM,01:31:51,242DR,DOM VIOL R/O VIOLATI
PD21030500003053,Pacific,1441,03/05/2021 12:00:00 AM,16:01:23,620D,DOM VIOL
PD21020700004056,Topanga,2134,02/07/2021 12:00:00 AM,20:50:52,620D,DOM VIOL
PD21021900002271,77th Street,1243,02/19/2021 12:00:00 AM,12:53:31,242D,DOM VIOL
PD21021300004847,Mission,1999,02/13/2021 12:00:00 AM,23:03:00,620DR,DOM VIOL R/O
PD21041300005041,77th Street,1241,04/13/2021 12:00:00 AM,22:32:34,242D,DOM VIOL
PD21031700004290,Mission,1963,03/17/2021 12:00:00 AM,19:11:02,620D,DOM VIOL
PD21022000004997,Southeast,1842,02/20/2021 12:00:00 AM,22:12:11,620DR,DOM VIOL R/O
PD21011400002416,Hollenbeck,0424,01/14/2021 12:00:00 AM,14:30:54,242D,DOM VIOL
PD21012400002509,Newton,1345,01/24/2021 12:00:00 AM,14:59:15,242D,DOM VIOL
PD21030500005009,77th Street,1268,03/05/2021 12:00:00 AM,23:02:41,245DS,DOM VIOL SUSP
PD21012600001638,Southwest,0356,01/26/2021 12:00:00 AM,10:53:57,242DS,DOM VIOL SUSP
PD21051800004155,Van Nuys,0971,05/18/2021 12:00:00 AM,19:48:52,245D,DOM VIOL
PD21042800000292,77th Street,1283,04/28/2021 12:00:00 AM,01:43:48,242D,DOM VIOL
PD21032100004912,Southeast,1804,03/21/2021 12:00:00 AM,22:28:45,620D,DOM VIOL
PD21011200000881,Mission,1977,01/12/2021 12:00:00 AM,08:22:48,242D,DOM VIOL
PD21013000002957,Olympic,2036,01/30/2021 12:00:00 AM,16:39:33,620D,DOM VIOL
PD21011500004764,Van Nuys,0926,01/15/2021 12:00:00 AM,23:51:45,242D,DOM VIOL
PD21050100000449,N Hollywood,1505,05/01/2021 12:00:00 AM,02:02:34,242PD,POSS DOM VIOL
PD21012400004692,Foothill,1615,01/24/2021 12:00:00 AM,23:18:39,242D,DOM VIOL
PD21060400000234,77th Street,1259,06/04/2021 12:00:00 AM,01:27:25,620D,DOM VIOL
PD21022200000839,Hollywood,0668,02/22/2021 12:00:00 AM,07:11:42,245DSN,DOM VIOL SUSP NOW
PD21033100004909,Hollenbeck,0488,03/31/2021 12:00:00 AM,22:02:48,620DR,DOM VIOL R/O
PD21020900001484,Southeast,1822,02/09/2021 12:00:00 AM,10:00:53,620D,DOM VIOL
PD21041900004343,77th Street,1267,04/19/2021 12:00:00 AM,22:03:53,242AD,AMB DOM VIOL
PD21060200002648,Foothill,1633,06/02/2021 12:00:00 AM,14:18:38,620D,DOM VIOL
PD21020800001543,Wilshire,0774,02/08/2021 12:00:00 AM,10:16:17,242D,DOM VIOL
PD21012800000109,Newton,1307,01/28/2021 12:00:00 AM,00:42:47,242D,DOM VIOL
PD21040300000486,Devonshire,1772,04/03/2021 12:00:00 AM,02:28:32,245DSN,DOM VIOL SUSP NOW
PD21011600002050,Rampart,0257,01/16/2021 12:00:00 AM,13:40:55,620D,DOM VIOL
PD21020100004401,Hollenbeck,0412,02/01/2021 12:00:00 AM,20:36:31,242D,DOM VIOL
PD21010900000734,Devonshire,1737,01/09/2021 12:00:00 AM,05:33:09,245DSN,DOM VIOL SUSP NOW
PD21031400004611,Van Nuys,0911,03/14/2021 12:00:00 AM,23:07:31,242AD,AMB DOM VIOL
PD21052700001216,Pacific,1434,05/27/2021 12:00:00 AM,08:26:42,620DR,DOM VIOL R/O
PD21052900005082,Rampart,0269,05/29/2021 12:00:00 AM,23:25:24,620D,DOM VIOL
PD21022300003730,Pacific,1464,02/23/2021 12:00:00 AM,17:07:24,242D,DOM VIOL
PD21031200004507,Newton,1346,03/12/2021 12:00:00 AM,21:53:09,242D,DOM VIOL
PD21022100002292,Southwest,0375,02/21/2021 12:00:00 AM,13:21:20,620D,DOM VIOL
PD21041300000542,Rampart,0257,04/13/2021 12:00:00 AM,04:33:44,620D,DOM VIOL
PD21012300002263,Rampart,0231,01/23/2021 12:00:00 AM,14:45:14,242AD,AMB DOM VIOL
PD21020300003755,Rampart,0251,02/03/2021 12:00:00 AM,17:07:22,242DI,DOM VIOL INVESTIGATI
PD21020200004328,77th Street,1243,02/02/2021 12:00:00 AM,20:37:31,242AD,AMB DOM VIOL
PD21031500001161,Mission,1952,03/15/2021 12:00:00 AM,09:00:17,242D,DOM VIOL
PD21041800000368,Wilshire,0713,04/18/2021 12:00:00 AM,01:37:41,620D,DOM VIOL
PD21012300002683,Topanga,2158,01/23/2021 12:00:00 AM,16:47:42,620D,DOM VIOL
PD21020700003590,Foothill,1612,02/07/2021 12:00:00 AM,19:11:55,242D,DOM VIOL
PD21050900003106,Topanga,2107,05/09/2021 12:00:00 AM,17:13:46,620D,DOM VIOL
PD21022300003771,Mission,1994,02/23/2021 12:00:00 AM,17:18:39,620D,DOM VIOL
PD21050200004890,Mission,1908,05/02/2021 12:00:00 AM,22:51:39,620D,DOM VIOL
PD21031400001628,Harbor,0525,03/14/2021 12:00:00 AM,11:27:15,242DR,DOM VIOL R/O VIOLATI
PD21011800000609,Pacific,1414,01/18/2021 12:00:00 AM,04:38:26,245D,DOM VIOL
PD21051900004290,Southeast,1804,05/19/2021 12:00:00 AM,18:52:17,620D,DOM VIOL
PD21032600001831,Newton,1343,03/26/2021 12:00:00 AM,12:53:46,620DR,DOM VIOL R/O
PD21032400002863,Wilshire,0713,03/24/2021 12:00:00 AM,13:51:31,620DR,DOM VIOL R/O
PD21032500004216,Van Nuys,0932,03/25/2021 12:00:00 AM,23:26:31,245DX,DOM VIOL IN PROGRESS
PD21020800003241,Devonshire,1782,02/08/2021 12:00:00 AM,17:05:02,242D,DOM VIOL
PD21060700001737,Central,0111,06/07/2021 12:00:00 AM,10:21:19,242D,DOM VIOL
PD21042900001658,Newton,1393,04/29/2021 12:00:00 AM,10:22:15,620DR,DOM VIOL R/O
PD21020700004378,Pacific,1484,02/07/2021 12:00:00 AM,22:13:56,242DS,DOM VIOL SUSP
PD21050600004541,Rampart,0265,05/06/2021 12:00:00 AM,20:05:08,242D,DOM VIOL
PD21010600000374,Central,0157,01/06/2021 12:00:00 AM,03:24:54,245DSN,DOM VIOL SUSP NOW
PD21052600002441,West Valley,1018,05/26/2021 12:00:00 AM,13:26:38,620D,DOM VIOL
PD21012500003650,Mission,1987,01/25/2021 12:00:00 AM,19:30:56,620D,DOM VIOL
PD21012400000539,Hollenbeck,0415,01/24/2021 12:00:00 AM,02:51:35,242DI,DOM VIOL INVESTIGATI
PD21032900002347,Foothill,1621,03/29/2021 12:00:00 AM,13:02:28,242D,DOM VIOL
PD21022100000100,Newton,1351,02/21/2021 12:00:00 AM,00:20:25,242DX,BATTERY DOMESTIC VIO
PD21022800002257,West Valley,1019,02/28/2021 12:00:00 AM,13:27:11,242PD,POSS DOM VIOL
PD21051200003998,Northeast,1132,05/12/2021 12:00:00 AM,18:36:56,242D,DOM VIOL
PD21020200000286,Olympic,2038,02/02/2021 12:00:00 AM,01:46:27,245DS,DOM VIOL SUSP
PD21041500001306,Newton,1323,04/15/2021 12:00:00 AM,09:10:48,620D,DOM VIOL
PD21052300001405,Rampart,0257,05/23/2021 12:00:00 AM,09:35:10,242PD,POSS DOM VIOL
PD21021100004162,Southwest,0392,02/11/2021 12:00:00 AM,19:13:35,620D,DOM VIOL
PD21042400001381,Southeast,1823,04/24/2021 12:00:00 AM,09:24:47,620D,DOM VIOL
PD21032500001376,Central,0182,03/25/2021 12:00:00 AM,10:42:25,620D,DOM VIOL
PD21060500000205,Southeast,1839,06/05/2021 12:00:00 AM,00:53:21,242DX,BATTERY DOMESTIC VIO
PD21020400000584,Topanga,2133,02/04/2021 12:00:00 AM,05:00:37,245DI,DOM VIOL INVEST
PD21021700001324,Southeast,1844,02/17/2021 12:00:00 AM,09:15:15,242D,DOM VIOL
PD21042200002365,Harbor,0501,04/22/2021 12:00:00 AM,13:53:13,242D,DOM VIOL
PD21050800004158,Rampart,0218,05/08/2021 12:00:00 AM,21:45:32,242D,DOM VIOL
PD21030400002527,77th Street,1267,03/04/2021 12:00:00 AM,13:39:37,242D,DOM VIOL
PD21041000004128,Foothill,1642,04/10/2021 12:00:00 AM,21:58:09,242D,DOM VIOL
PD21011200002696,Northeast,1151,01/12/2021 12:00:00 AM,15:26:35,620DR,DOM VIOL R/O
PD21012500000988,77th Street,1273,01/25/2021 12:00:00 AM,08:15:56,620DR,DOM VIOL R/O
PD21042800002949,Southeast,1824,04/28/2021 12:00:00 AM,15:22:41,242D,DOM VIOL
PD21011700000404,Olympic,2071,01/17/2021 12:00:00 AM,01:44:41,245D,DOM VIOL
PD21050800003580,West Valley,1005,05/08/2021 12:00:00 AM,19:09:43,620D,DOM VIOL
PD21022800000170,Southwest,0337,02/28/2021 12:00:00 AM,00:37:22,242DX,BATTERY DOMESTIC VIO
PD21052600004497,Mission,1961,05/26/2021 12:00:00 AM,21:14:23,242D,DOM VIOL
PD21060600003172,West Valley,1011,06/06/2021 12:00:00 AM,16:54:35,620DR,DOM VIOL R/O
PD21053100005180,Hollenbeck,0424,05/31/2021 12:00:00 AM,23:23:38,620D,DOM VIOL
PD21040800002799,Van Nuys,0909,04/08/2021 12:00:00 AM,14:49:44,620DR,DOM VIOL R/O
PD21060100005154,Foothill,1633,06/01/2021 12:00:00 AM,23:20:38,245D,DOM VIOL
PD21060100000929,Southeast,1836,06/01/2021 12:00:00 AM,07:39:45,620DR,DOM VIOL R/O
PD21021600000513,Devonshire,1776,02/16/2021 12:00:00 AM,03:50:26,242D,DOM VIOL
PD21050200002649,West LA,0855,05/02/2021 12:00:00 AM,14:56:43,620D,DOM VIOL
PD21050300000575,Southeast,1826,05/03/2021 12:00:00 AM,03:56:54,620D,DOM VIOL
PD21043000004527,Van Nuys,0941,04/30/2021 12:00:00 AM,21:45:03,242D,DOM VIOL
PD21033100004065,77th Street,1203,03/31/2021 12:00:00 AM,19:14:37,242AD,AMB DOM VIOL
PD21052900002195,77th Street,1239,05/29/2021 12:00:00 AM,13:23:18,245PD,ADW POSS DOM VIOL
PD21011600004453,77th Street,1213,01/16/2021 12:00:00 AM,23:24:02,245D,DOM VIOL
PD21051200003886,Rampart,0246,05/12/2021 12:00:00 AM,18:01:32,620D,DOM VIOL
PD21060700001483,Mission,1958,06/07/2021 12:00:00 AM,09:32:03,242DX,BATTERY DOMESTIC VIO
PD21030800004561,Southeast,1829,03/08/2021 12:00:00 AM,22:02:29,620D,DOM VIOL
PD21012200003674,Wilshire,0762,01/22/2021 12:00:00 AM,18:51:49,242DS,DOM VIOL SUSP
PD21021600000895,Southwest,0398,02/16/2021 12:00:00 AM,07:11:31,242D,DOM VIOL
PD21052900005271,Southwest,0362,05/29/2021 12:00:00 AM,23:49:49,242D,DOM VIOL
PD21042600001643,Newton,1343,04/26/2021 12:00:00 AM,10:37:33,620D,DOM VIOL
PD21021800004809,Central,0154,02/18/2021 12:00:00 AM,20:30:06,242D,DOM VIOL
PD21051400000530,Central,0147,05/14/2021 12:00:00 AM,03:35:03,242D,DOM VIOL
PD21030900004257,Harbor,0587,03/09/2021 12:00:00 AM,19:05:35,242D,DOM VIOL
PD21051100001063,Rampart,0245,05/11/2021 12:00:00 AM,07:53:46,620D,DOM VIOL
PD21012000000950,Wilshire,0734,01/20/2021 12:00:00 AM,07:29:27,242DS,DOM VIOL SUSP
PD21053100002736,Olympic,2069,05/31/2021 12:00:00 AM,15:07:57,242D,DOM VIOL
PD21033000002329,Olympic,2002,03/30/2021 12:00:00 AM,13:14:54,242D,DOM VIOL
PD21060500003778,Central,0131,06/05/2021 12:00:00 AM,20:06:28,620DR,DOM VIOL R/O
PD21043000002739,Southwest,0337,04/30/2021 12:00:00 AM,15:24:42,620D,DOM VIOL
PD21010400003896,Newton,1352,01/04/2021 12:00:00 AM,20:30:47,242D,DOM VIOL
PD21021000004330,Newton,1323,02/10/2021 12:00:00 AM,19:36:46,620D,DOM VIOL
PD21042400001193,Hollywood,0636,04/24/2021 12:00:00 AM,08:21:56,620DR,DOM VIOL R/O
PD21020100005079,Southeast,1804,02/01/2021 12:00:00 AM,23:01:18,242DS,DOM VIOL SUSP
PD21042500000588,Van Nuys,0906,04/25/2021 12:00:00 AM,02:40:36,242D,DOM VIOL
PD21041200000745,Olympic,2034,04/12/2021 12:00:00 AM,05:42:39,245PD,ADW POSS DOM VIOL
PD21031700002156,Foothill,1658,03/17/2021 12:00:00 AM,11:55:07,620DR,DOM VIOL R/O
PD21030300002624,Van Nuys,0914,03/03/2021 12:00:00 AM,14:34:35,620D,DOM VIOL
PD21030300002321,Rampart,0236,03/03/2021 12:00:00 AM,13:24:32,242D,DOM VIOL
PD21021800005666,Southeast,1861,02/18/2021 12:00:00 AM,22:48:32,242D,DOM VIOL
PD21030700001400,Hollenbeck,0414,03/07/2021 12:00:00 AM,08:39:33,620D,DOM VIOL
PD21022400002405,Mission,1981,02/24/2021 12:00:00 AM,12:20:50,620D,DOM VIOL
PD21031400001309,Hollenbeck,0421,03/14/2021 12:00:00 AM,09:52:32,620DR,DOM VIOL R/O
PD21013000002438,Hollywood,0678,01/30/2021 12:00:00 AM,14:36:26,620DR,DOM VIOL R/O
PD21051400002389,Rampart,0295,05/14/2021 12:00:00 AM,13:15:38,620DR,DOM VIOL R/O
PD21052700001580,Newton,1385,05/27/2021 12:00:00 AM,09:52:24,242D,DOM VIOL
PD21050500002295,Harbor,0566,05/05/2021 12:00:00 AM,12:04:55,620DR,DOM VIOL R/O
PD21052500000846,Harbor,0519,05/25/2021 12:00:00 AM,07:21:44,242D,DOM VIOL
PD21060500002943,Van Nuys,0935,06/05/2021 12:00:00 AM,16:51:05,242D,DOM VIOL
PD21030700004474,Hollenbeck,0427,03/07/2021 12:00:00 AM,21:20:53,242D,DOM VIOL
PD21032800002335,Rampart,0275,03/28/2021 12:00:00 AM,14:27:29,620D,DOM VIOL
PD21031400000737,Northeast,1109,03/14/2021 12:00:00 AM,06:31:48,620D,DOM VIOL
PD21012700004169,Central,0132,01/27/2021 12:00:00 AM,19:30:01,620D,DOM VIOL
PD21032200000447,Olympic,2083,03/22/2021 12:00:00 AM,02:55:19,620D,DOM VIOL
PD21040800002784,Topanga,2137,04/08/2021 12:00:00 AM,14:45:42,242DR,DOM VIOL R/O VIOLATI
PD21031800000264,Southeast,1826,03/18/2021 12:00:00 AM,01:35:10,242AD,AMB DOM VIOL
PD21020600003472,Rampart,0299,02/06/2021 12:00:00 AM,18:49:53,245D,DOM VIOL
PD21030900001861,West Valley,1043,03/09/2021 12:00:00 AM,10:50:31,242D,DOM VIOL
PD21010200002808,Mission,1913,01/02/2021 12:00:00 AM,17:39:29,620DR,DOM VIOL R/O
PD21033100004016,Northeast,1124,03/31/2021 12:00:00 AM,19:12:38,620DR,DOM VIOL R/O
PD21032700003222,Foothill,1654,03/27/2021 12:00:00 AM,18:48:52,620D,DOM VIOL
PD21031400003827,77th Street,1267,03/14/2021 12:00:00 AM,20:24:11,620D,DOM VIOL
PD21012000005407,77th Street,1266,01/20/2021 12:00:00 AM,23:30:23,620DR,DOM VIOL R/O
PD21022800000268,N Hollywood,1519,02/28/2021 12:00:00 AM,00:58:43,242D,DOM VIOL
PD21010100000094,Foothill,1658,01/01/2021 12:00:00 AM,00:20:48,620DR,DOM VIOL R/O
PD21040400003623,Van Nuys,0914,04/04/2021 12:00:00 AM,19:23:41,242DS,DOM VIOL SUSP
PD21013100004890,77th Street,1267,01/31/2021 12:00:00 AM,23:50:25,620DR,DOM VIOL R/O
PD21060500003441,Van Nuys,0937,06/05/2021 12:00:00 AM,19:19:26,242D,DOM VIOL
PD21030200000929,Harbor,0564,03/02/2021 12:00:00 AM,08:01:24,242D,DOM VIOL
PD21050200002804,Hollenbeck,0466,05/02/2021 12:00:00 AM,15:52:49,242D,DOM VIOL
PD21031900004854,77th Street,1249,03/19/2021 12:00:00 AM,22:35:37,245D,DOM VIOL
PD21030700004089,N Hollywood,1503,03/07/2021 12:00:00 AM,20:13:15,620D,DOM VIOL
PD21052800002187,Mission,1972,05/28/2021 12:00:00 AM,12:47:51,242D,DOM VIOL
PD21050400001824,Foothill,1654,05/04/2021 12:00:00 AM,10:59:49,245PD,ADW POSS DOM VIOL
PD21050800004143,Newton,1367,05/08/2021 12:00:00 AM,21:23:43,620D,DOM VIOL
PD21050800000483,Northeast,1162,05/08/2021 12:00:00 AM,02:11:48,245D,DOM VIOL
PD21012800000590,West LA,0852,01/28/2021 12:00:00 AM,05:50:11,242D,DOM VIOL
PD21020700000168,N Hollywood,1527,02/07/2021 12:00:00 AM,00:50:36,242D,DOM VIOL
PD21021100000475,Olympic,2027,02/11/2021 12:00:00 AM,03:24:39,620DR,DOM VIOL R/O
PD21031800002277,Newton,1352,03/18/2021 12:00:00 AM,12:18:41,245DSN,DOM VIOL SUSP NOW
PD21022500001423,Central,0148,02/25/2021 12:00:00 AM,09:24:35,242PD,POSS DOM VIOL
PD21030900000602,Southeast,1846,03/09/2021 12:00:00 AM,05:28:54,620D,DOM VIOL
PD21012400004255,Hollywood,0644,01/24/2021 12:00:00 AM,21:47:40,620D,DOM VIOL
PD21031100000101,Southeast,1802,03/11/2021 12:00:00 AM,00:44:25,620D,DOM VIOL
PD21052600000555,Southeast,1871,05/26/2021 12:00:00 AM,03:57:21,245D,DOM VIOL
PD21030500003916,Foothill,1617,03/05/2021 12:00:00 AM,18:47:22,245HD,CZN HLDG DOM VIOL
PD21020200004655,West Valley,1017,02/02/2021 12:00:00 AM,20:43:32,242D,DOM VIOL
PD21012300002175,Harbor,0564,01/23/2021 12:00:00 AM,14:15:28,245DSN,DOM VIOL SUSP NOW
PD21032300004163,Southeast,1827,03/23/2021 12:00:00 AM,18:33:37,620D,DOM VIOL
PD21051700003138,Southwest,0375,05/17/2021 12:00:00 AM,16:08:10,245DS,DOM VIOL SUSP
